album,id,large,med,preview,small,song_name
The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (2012 Remastered Version),0pQskrTITgmCMyr85tb9qq,https://i.scdn.co/image/65d1d0b438352ba17cbf4548f5e3b63b9455ca68,https://i.scdn.co/image/9598d123dc969fc75835eba82b45b86748e58cbe,https://p.scdn.co/mp3-preview/d5a1fbdba4c24cd6414ef853cd5979ea18fb5f74?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/14e9f80e92756674e9954a187248c07aaa3d27af,Starman - 2012 Remastered Version
Hold The Line: The Ultimate Toto Collection,5tJjo5JDF9zhzYD7yQfATH,https://i.scdn.co/image/e1abb41962137a14788f7bef55e79c3b0b2d8be3,https://i.scdn.co/image/0ba7addb691c2e2761358e627c4f4c307b4a9108,https://p.scdn.co/mp3-preview/1268f4266754a407769dc415769573cedff7c61a?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/2bc42a1de90f0ecb84d35a87438507975b81dbc9,Africa
"Echoes, Silence, Patience & Grace",7x8dCjCr0x6x2lXKujYD34,https://i.scdn.co/image/190e4ea6551fdb5025d216d65b7c3799f49893d7,https://i.scdn.co/image/32c880c623ec6c46248987a73f50dc4a61fd14f3,https://p.scdn.co/mp3-preview/6aba2f4e671ffe07fd60807ca5fef82d48146d4c?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/9f083f126f2c32455732a0f1e7377f4867c5d1d0,The Pretender
Dookie,6L89mwZXSOwYl76YXfX13s,https://i.scdn.co/image/927a0b3a207f999eaf94aa1f9b92b8900c95e014,https://i.scdn.co/image/39ac4904a22405fcf66d9ab8dea354d5b95a64f2,https://p.scdn.co/mp3-preview/a66864fcfd8923c6084fc2000e3086e4e1e0a657?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/882ded5bfb1472be3ddd5862a224f62972c1a49c,Basket Case
Sweet Dreams (Are Made Of This),1TfqLAPs4K3s2rJMoCokcS,https://i.scdn.co/image/18ea6d20b0d127f24bda175eb5533806caa884b8,https://i.scdn.co/image/3ae68b57e21a76ecea60dda8501fd57041d57224,https://p.scdn.co/mp3-preview/90dbf17146e76483a9fe296d7f03001e2f07199f?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/c895f7e508b14f1245304ef97aee78717c949b11,Sweet Dreams (Are Made of This) - Remastered
Thriller 25 Super Deluxe Edition,5ChkMS8OtdzJeqyybCc9R5,https://i.scdn.co/image/3c294000d8739af300d9a842934d6f7e090471c7,https://i.scdn.co/image/d50dab8e3338d47ddc84195a0779b6b80704f8c5,https://p.scdn.co/mp3-preview/4eb779428d40d579f14d12a9daf98fc66c7d0be4?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/eb2b6bb819fd2b1795acd65efc8e1a975c487afc,Billie Jean
Eye Of The Tiger,2HHtWyy5CgaQbC7XSoOb0e,https://i.scdn.co/image/4d4825b7f73179ecab1c3016b4c3bad9bd8dfb85,https://i.scdn.co/image/02c269a4abe4f8ff3583ae4a40da935637a3bcf2,https://p.scdn.co/mp3-preview/0305e216dd77b09c395724bd2c3506cd1047dad2?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/4d3543b4092b787fc43fcf184b74ef3d83dea27f,Eye of the Tiger
Greatest Hits No.1 Gold Selection,6BKOBYeTXMQtMRshLprSbS,https://i.scdn.co/image/66f1aa90adc534fab2fd132865589dcddfe925df,https://i.scdn.co/image/183ab9ae0e3049a376b62de579d796e6a178162f,https://p.scdn.co/mp3-preview/0caeece998a6d2ac764ca7c40eaf72a137a9aa33?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/b9955f7af6404ef48e14c97d12b86ff38eb9c1a0,Country Roads
Hunting High And Low,2WfaOiMkCvy7F5fcp2zZ8L,https://i.scdn.co/image/c41ae5b513a39d1c616c4c279ebe19981a3092f3,https://i.scdn.co/image/29524c6b4c9c821d7b57702ba05f380ac49144af,https://p.scdn.co/mp3-preview/0f980d0fac59f77123d0272b78bce97f1374d9e9?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/38c04d9df82e1172f096511d5af3fedc1c053948,Take On Me
Forever Young,4S1VYqwfkLit9mKVY3MXoo,https://i.scdn.co/image/eb0b1c38c2c4b6309caea3ead6a23da8a5159885,https://i.scdn.co/image/f0a3ceee86a423954152abf32039f79392ad6613,https://p.scdn.co/mp3-preview/847a8d10c771089bbb767c1763f4b54b76115442?cid=89541d432a864af4a2f0cba84cd40170,https://i.scdn.co/image/7268aac518582edb95eb7a930ddf174604f5e65a,Forever Young
