artists,songs,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,happy/sad
P. Diddy & Faith Evans,I'll Be Missing You,0.833,0.619,7,-5.595,1,0.0538,0.111,2.13e-05,0.159,0.901,109.92,audio_features,1yy2DlSDtEt90d54rPDPXz,spotify:track:1yy2DlSDtEt90d54rPDPXz,https://api.spotify.com/v1/tracks/1yy2DlSDtEt90d54rPDPXz,https://api.spotify.com/v1/audio-analysis/1yy2DlSDtEt90d54rPDPXz,306560,4,0
Jessie J,Domino,0.757,0.547,7,-4.573,1,0.0355,0.0115,0,0.0445,0.793,126.977,audio_features,6MAdEUilV2p9RQUqE5bMAK,spotify:track:6MAdEUilV2p9RQUqE5bMAK,https://api.spotify.com/v1/tracks/6MAdEUilV2p9RQUqE5bMAK,https://api.spotify.com/v1/audio-analysis/6MAdEUilV2p9RQUqE5bMAK,231693,4,1
Glee Cast,Jingle Bell Rock (Glee Cast Version),0.623,0.738,3,-5.709,1,0.0281,0.18,0,0.146,0.874,152.066,audio_features,77GcYr9JP6uvJM0kPa6Nzk,spotify:track:77GcYr9JP6uvJM0kPa6Nzk,https://api.spotify.com/v1/tracks/77GcYr9JP6uvJM0kPa6Nzk,https://api.spotify.com/v1/audio-analysis/77GcYr9JP6uvJM0kPa6Nzk,152947,4,1
V-SOUNDS,Dreams,0.622,0.554,0,-7.89,1,0.0291,0.346,0.00107,0.105,0.446,120.06,audio_features,2CdsVCjXmzRHmgaoYAX2po,spotify:track:2CdsVCjXmzRHmgaoYAX2po,https://api.spotify.com/v1/tracks/2CdsVCjXmzRHmgaoYAX2po,https://api.spotify.com/v1/audio-analysis/2CdsVCjXmzRHmgaoYAX2po,222060,4,1
Roy Orbison,Only the Lonely,0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273,audio_features,0PkBTqRtN25z3oKasWoKlj,spotify:track:0PkBTqRtN25z3oKasWoKlj,https://api.spotify.com/v1/tracks/0PkBTqRtN25z3oKasWoKlj,https://api.spotify.com/v1/audio-analysis/0PkBTqRtN25z3oKasWoKlj,145533,4,0
Steve Miller Band,True Fine Love,0.63,0.419,7,-12.804,0,0.0387,0.325,0.0227,0.0813,0.904,126.384,audio_features,35rk3zkmIUCwlRZjd0SQwo,spotify:track:35rk3zkmIUCwlRZjd0SQwo,https://api.spotify.com/v1/tracks/35rk3zkmIUCwlRZjd0SQwo,https://api.spotify.com/v1/audio-analysis/35rk3zkmIUCwlRZjd0SQwo,160667,4,1
Was (Not Was),Walk The Dinosaur,0.569,0.536,2,-13.875,1,0.104,0.0999,0.0012,0.156,0.762,115.254,audio_features,5ZG3fDXiAzC1tfXbk2TR3R,spotify:track:5ZG3fDXiAzC1tfXbk2TR3R,https://api.spotify.com/v1/tracks/5ZG3fDXiAzC1tfXbk2TR3R,https://api.spotify.com/v1/audio-analysis/5ZG3fDXiAzC1tfXbk2TR3R,523200,4,1
Guru Josh Project,Infinity 2008 - Klaas Vocal Edit,0.498,0.862,7,-6.02,0,0.0589,0.000313,0.00941,0.352,0.47,128.034,audio_features,3aQz0z86zrKjd1mcZlonxE,spotify:track:3aQz0z86zrKjd1mcZlonxE,https://api.spotify.com/v1/tracks/3aQz0z86zrKjd1mcZlonxE,https://api.spotify.com/v1/audio-analysis/3aQz0z86zrKjd1mcZlonxE,192294,4,1
Frank Sinatra,Mistletoe And Holly - 1999 - Remaster,0.558,0.125,9,-13.227,1,0.0429,0.873,0,0.0778,0.291,110.141,audio_features,6zPuGWyVD5hY1on54zcKdE,spotify:track:6zPuGWyVD5hY1on54zcKdE,https://api.spotify.com/v1/tracks/6zPuGWyVD5hY1on54zcKdE,https://api.spotify.com/v1/audio-analysis/6zPuGWyVD5hY1on54zcKdE,139400,4,1
OneRepublic,I Lived,0.599,0.854,9,-5.429,1,0.0436,0.0746,0,0.278,0.311,119.986,audio_features,7D49Iig0avHre9RFSUMkd2,spotify:track:7D49Iig0avHre9RFSUMkd2,https://api.spotify.com/v1/tracks/7D49Iig0avHre9RFSUMkd2,https://api.spotify.com/v1/audio-analysis/7D49Iig0avHre9RFSUMkd2,234547,4,1
U2,Bad,0.384,0.712,2,-7.92,1,0.032,0.0218,0.000589,0.0995,0.347,98.437,audio_features,3fOsKEaGwhp9TRgJnrMA2z,spotify:track:3fOsKEaGwhp9TRgJnrMA2z,https://api.spotify.com/v1/tracks/3fOsKEaGwhp9TRgJnrMA2z,https://api.spotify.com/v1/audio-analysis/3fOsKEaGwhp9TRgJnrMA2z,349507,4,0
Jens O.,Body and Soul - Radio Edit,0.595,0.976,5,-3.177,0,0.0521,0.0136,0.0212,0.321,0.466,139.947,audio_features,2pwhdKIuPvoryP8hkzLWtY,spotify:track:2pwhdKIuPvoryP8hkzLWtY,https://api.spotify.com/v1/tracks/2pwhdKIuPvoryP8hkzLWtY,https://api.spotify.com/v1/audio-analysis/2pwhdKIuPvoryP8hkzLWtY,168460,4,1
Los Del Rio,Macarena Christmas - Joy Mix,0.701,0.559,1,-9.577,1,0.0483,0.00312,0.0029,0.392,0.488,103.222,audio_features,5gC7cwZNKqaNLlvHlLjjqE,spotify:track:5gC7cwZNKqaNLlvHlLjjqE,https://api.spotify.com/v1/tracks/5gC7cwZNKqaNLlvHlLjjqE,https://api.spotify.com/v1/audio-analysis/5gC7cwZNKqaNLlvHlLjjqE,253267,4,1
